address,city,county,state,building_sf,lot_size_ac,ceiling_height,loading_docks,drive_ins,sale_price,sale_date,buyer,real_estate_taxes,sale_type
840 S 1ST ST,Ronkonkoma,Suffolk,NY,10000,0.64,15'6'',0,11,2650000,,,25982,Under Contract
22 COLT CT,Ronkonkoma,Suffolk,NY,10000,0.75,16',1,2,2425000,2024-08-01,Cutler Industrial Sales Inc,34529,Arm's Length
130 FREEMAN AVE,Islip,Suffolk,NY,10526,0.66,13',0,1,1500000,2025-04-01,Michael Marinello,20726,Arm's Length
400 CARLIS PATH,Deer Park,Suffolk,NY,12000,0.62,14',1,1,2260000,2025-01-01,SCDPLI LLC,47520,Arm's Length
920 N WELLWOOD AVE,Lindenhurst,Suffolk,NY,12474,0.53,12',0,7,2300000,2025-01-01,,41788,Arm's Length
95 VERDI ST,Farmingdale,Suffolk,NY,13000,1.03,,0,3,3700000,2024-04-01,AIC Ventures,55250,Arm's Length
15 GAZZA BLVD,Farmingdale,Suffolk,NY,13000,0.03,,,,,2024-12-01,,,Arm's Length
609 ACORN ST,Deer Park,Suffolk,NY,13460,1.0,20',1,3,3800000,2025-06-01,Geiger Holding,28570,Arm's Length
50 CABOT CT,Hauppauge,Suffolk,NY,139470,7.68,28',7,5,27050000,2025-11-01,NorthBridge,291284,Arm's Length
32 ALLEN BLVD,Farmingdale,Nassau,NY,14920,0.87,13'-14',0,11,2795000,2025-04-01,,39687,Arm's Length
31 WINDSOR PLACE,Central Islip,Suffolk,NY,143493,10.1,16'-22',9,1,29250000,2025-08-01,F.W. Webs,443366,Arm's Length
87 E JEFRYN BLVD,Deer Park,Suffolk,NY,15010,1.0,14',1,3,3527350,2025-03-01,,55419,Arm's Length
1 SAXWOOD ST,Deer Park,Suffolk,NY,20000,1.1,16',2,2,3800000,,,57800,Under Contract
180 CENTRAL AVE,Farmingdale,Nassau,NY,21000,0.92,20',2,2,5800000,,,59813,In Contract
2200 SMITHTOWN AVE,Ronkonkoma,Suffolk,NY,21000,2.25,17'6'',1,1,5000000,2026-01-15,Triple H Construction,69851,Arm's Length
40 BANFI PLZ,Farmingdale,Nassau,NY,24730,1.4,20'6'',3,3,7410000,2025-05-01,40 Banfi LLC,62089,Arm's Length
200 CENTRAL AVENUE,Farmingdale,Nassau,NY,25000,1.17,14',1,2,5875000,2024-05-01,Upper Restoration,77781,Arm's Length
28 BRANDYWINE DR,Deer Park,Suffolk,NY,32500,1.65,18',2,4,8612000,2025-11-01,,62821,Arm's Length
145 KENNEDY DR,Hauppauge,Suffolk,NY,36600,1.99,21',2,1,8150000,2024-11-01,Promotional Solutions,80520,Arm's Length
110 WINDSOR PL,Central Islip,Suffolk,NY,41725,2.41,20',5,2,7950000,2024-11-01,Avco Industries,141448,Arm's Length
55 COMMERCE DR,Hauppauge,Suffolk,NY,44000,2.9,19'-24',7,2,11000000,2025-11-01,55 Commerce Drive LLC,99000,Arm's Length
135 OSER AVE,Hauppauge,Suffolk,NY,46052,3.5,26'-18',7,2,11513000,,,82447,Under Contract
395 OSER AVE,Hauppauge,Suffolk,NY,50000,6.0,12'6'',1,0,11550000,2025-08-01,Mason Technologies Inc,,Arm's Length
430 WIRELESS BLVD,Hauppauge,Suffolk,NY,50000,4.7,25'6'',8,1,19000000,2025-01-01,Casanova Meats,147000,Arm's Length
77 RODEO DR,Edgewood,Suffolk,NY,53600,3.3,26',5,1,13455000,2025-05-01,Uncle Giuseppe's,154368,Arm's Length
40 ADAMS AVE,Hauppauge,Suffolk,NY,75000,4.06,21',8,0,17250000,2025-02-01,Nationwide 360,191250,Arm's Length
135 BAYLIS ROAD,Melville,Suffolk,NY,91428,9.4,16',4,9,20000000,2024-07-01,Deep Distributors Of Greater NY,90514,Arm's Length
